node_1|node_2|edge|chunk_id
personal representative|court document|related as a requirement for court-appointed or court-certified personal representatives to attach to the return|d3c7c7f451804e5d8c316a92c80d95ec
appointed personal representative|return|related as a person who must sign the return|d3c7c7f451804e5d8c316a92c80d95ec
surviving spouse|joint return|related as a person who must also sign the joint return|d3c7c7f451804e5d8c316a92c80d95ec
surviving spouse|personal representative|A surviving spouse can file joint returns for the taxable year in which the death occurred and, if the death occurred before filing the return, for the taxable year immediately before the year of death. If there's no appointed personal representative, the surviving spouse must sign the return.|14ecb3a88eed4e4e884ad8c96be72937
appointed personal representative|surviving spouse|If there's an appointed personal representative, that person must sign the return. If it's a joint return, the surviving spouse must also sign it.|14ecb3a88eed4e4e884ad8c96be72937
person in charge of the decedent's property|personal representative|If there's no appointed personal representative and there's no surviving spouse, the person in charge of the decedent's property must file and sign the return as 'personal representative'.|14ecb3a88eed4e4e884ad8c96be72937
decedent|estate|The decedent's estate must file Form 706, United States Estate (and Generation Skipping Transfer) Tax Return.|14ecb3a88eed4e4e884ad8c96be72937
wages|gross income|All wages, salaries and tips you received for performing services as an employee of an employer must be included in your gross income.|8ded90469d8f479f8120367ee53305a2
salaries|gross income|All wages, salaries and tips you received for performing services as an employee of an employer must be included in your gross income.|8ded90469d8f479f8120367ee53305a2
tips|gross income|All wages, salaries and tips you received for performing services as an employee of an employer must be included in your gross income.|8ded90469d8f479f8120367ee53305a2
income tax|wages|Amounts withheld for taxes, including but not limited to income tax, Social Security and Medicare taxes, are considered 'received' and must be included in gross income in the year they're withheld.|8ded90469d8f479f8120367ee53305a2
social security|wages|Amounts withheld for taxes, including but not limited to income tax, Social Security and Medicare taxes, are considered 'received' and must be included in gross income in the year they're withheld.|8ded90469d8f479f8120367ee53305a2
medicare|wages|Amounts withheld for taxes, including but not limited to income tax, Social Security and Medicare taxes, are considered 'received' and must be included in gross income in the year they're withheld.|8ded90469d8f479f8120367ee53305a2
pension plan|gross income|Generally, your employer's contribution to a qualified pension plan for you isn't included in gross income at the time it's contributed.|8ded90469d8f479f8120367ee53305a2
salary reduction agreements|gross income|Amounts withheld under certain salary reduction agreements with your employer are generally excluded from gross income|8ded90469d8f479f8120367ee53305a2
publication 17|specific information|See Publication 17 for specific information.|8ded90469d8f479f8120367ee53305a2
form w-2|wage and tax statement|is a type of|863151c5af934811b5fdd739e0bc251f
form 10-x|amended u.s. individual income tax return|is a type of|863151c5af934811b5fdd739e0bc251f
form 531|reporting tip income|provides information on|863151c5af934811b5fdd739e0bc251f
topic no. 761|tips - withholding and reporting|provides information on|863151c5af934811b5fdd739e0bc251f
topic no. 608|excess social security and rrta tax withheld|provides information on|863151c5af934811b5fdd739e0bc251f
form 10-99 nec|nonemployee compensation|is used to report|863151c5af934811b5fdd739e0bc251f
publication 334|tax guide for small business|provides information on|863151c5af934811b5fdd739e0bc251f
topic no. 407|business income|provides information on|863151c5af934811b5fdd739e0bc251f
taxable income|penalty|Taxable income may result in penalty if not reported|1b15e548f21b4d82b2d374c1fc98b6b4
interest|form 1099-int|Interest payments of $10 or more are reported on Form 1099-INT|1b15e548f21b4d82b2d374c1fc98b6b4
tax-exempt interest|form 1099-oid|Tax-exempt interest payments of $10 or more are reported on Form 1099-OID|1b15e548f21b4d82b2d374c1fc98b6b4
federal income tax return|taxable and tax-exempt interest|All taxable and tax-exempt interest must be reported on federal income tax return|1b15e548f21b4d82b2d374c1fc98b6b4
payer of interest income|correct taxpayer identification number|Payer of interest income requires correct taxpayer identification number to avoid penalty and backup withholding|1b15e548f21b4d82b2d374c1fc98b6b4
oid (original issue discount)|interest for federal tax purposes|OID is treated as interest for federal tax purposes|1b15e548f21b4d82b2d374c1fc98b6b4
certificates of deposit|taxable interest|Certificates of deposit generate taxable interest|1b15e548f21b4d82b2d374c1fc98b6b4
corporate bonds|taxable interest|Corporate bonds generate taxable interest|1b15e548f21b4d82b2d374c1fc98b6b4
deposited insurance dividends|taxable interest|Deposited insurance dividends generate taxable interest|1b15e548f21b4d82b2d374c1fc98b6b4
dividends on deposits or share accounts|taxable interest|Dividends on deposits or share accounts are actually taxable interest|1b15e548f21b4d82b2d374c1fc98b6b4
dividend|taxable interest|Certain distributions referred to as dividends are actually taxable interest.|1185ed9cbb2a4920ba47b6c0c195e77d
deposits|share accounts|Dividends on deposits or share accounts in cooperative banks, credit unions...|1185ed9cbb2a4920ba47b6c0c195e77d
treasury bills|taxes|...interest income from Treasury bills, notes and bonds is subject to federal income tax, but exempt from all state and local income taxes.|1185ed9cbb2a4920ba47b6c0c195e77d
savings bond interest|income|You can elect to include the interest in income each year...|1185ed9cbb2a4920ba47b6c0c195e77d
series ee bonds|series i u.s. savings bonds|...you generally won't include interest on Series EE and Series I U.S. savings bonds until the earlier of when they mature or are redeemed.|1185ed9cbb2a4920ba47b6c0c195e77d
interest|income|Interest can be included in income each year.|1975a42ee0534c9ca1faa3b1c238e8bf
series ee and series i u.s. savings bonds|maturity|The interest on these bonds is not included until the earlier of when they mature or are redeemed/disposed of.|1975a42ee0534c9ca1faa3b1c238e8bf
interest|exclusion|Certain Series EE and Series I bonds may be excluded from income if used to pay for qualified higher educational expenses during the year and meet certain requirements.|1975a42ee0534c9ca1faa3b1c238e8bf
form 1099-int|business|The interest paid by a business will be reported to you on Form 1099-INT if it is $600 or more.|1975a42ee0534c9ca1faa3b1c238e8bf
interest|damages|Interest may be received with damages or delayed death benefits.|1975a42ee0534c9ca1faa3b1c238e8bf
series ee and series i bonds issued after 1989|educational savings bond program|These bonds can be used to pay for qualified higher educational expenses during the year, meeting certain requirements.|1975a42ee0534c9ca1faa3b1c238e8bf
form 88-15|interest|The amount of excludable interest from Series EE and I U.S. Savings Bonds Issued After 1989 should be figured on Form 88-15 and shown on Schedule B (Form 1040), Interest and Ordinary Dividends.|1975a42ee0534c9ca1faa3b1c238e8bf
interest|government operations|Interest is used to finance government operations.|7c0bea2667be40f185046d0b1766df03
tax-exempt interest|information-reporting requirement|Reporting tax-exempt interest received during the tax year is an information-reporting requirement only.|7c0bea2667be40f185046d0b1766df03
nontaxable interest|u.s. department of veterans affairs|Interest on insurance dividends left on deposit with the U.S. Department of Veterans Affairs is nontaxable interest and not reportable.|7c0bea2667be40f185046d0b1766df03
original issue discount instruments|income|Part of the original issue discount may have to be included in income each year as interest, even if no payment is received during the year.|7c0bea2667be40f185046d0b1766df03
form 10-99-oid|original issue discount|You should receive a Form 10-99-OID, Original Issue Discount or a similar statement from each payer of taxable original issue discount of $10 or more, showing the amount you should report in income.|7c0bea2667be40f185046d0b1766df03
nominee recipient|form 10-99-oid|For a tax-exempt bond acquired on or after January 1, 2017, you should receive a Form 10-99-OID, or a similar statement, of tax-exempt OID that is reportable as tax-exempt interest.|7c0bea2667be40f185046d0b1766df03
nominee recipient|form 10rr|The IRS considers a nominee recipient when they receive a Form 10rr that actually belongs to someone else.|78f20d8f2fd6407096b82cc7064fe05e
real owner|nominee recipient|A nominee recipient receives an interest (or OID) on behalf of the real owner.|78f20d8f2fd6407096b82cc7064fe05e
spouse|nominee recipient|If the interest (or OID) belongs to the nominee recipient's spouse, they must report it on their income tax return.|78f20d8f2fd6407096b82cc7064fe05e
internal revenue service (irs)|form 10rr-int or form 10rr-oid|The IRS requires a completed Form 10rr-INT or Form 10rr-OID to be sent to them and given to the actual owner.|78f20d8f2fd6407096b82cc7064fe05e
actual owner|form 10rr-int or form 10rr-oid|The actual owner is required to receive a Copy B of the 10rr-INT or Form 10rr-OID from the nominee recipient.|78f20d8f2fd6407096b82cc7064fe05e
estimated taxes|taxable interest|If you receive taxable interest, you may have to pay estimated tax on the additional income.|78f20d8f2fd6407096b82cc7064fe05e
dividends|distributions|Dividends are a type of distribution that a corporation may pay to its shareholders.|2da9dc95081442e8a0c7d402928d048d
cash|dividends|Corporations typically pay most dividends in cash.|2da9dc95081442e8a0c7d402928d048d
stock|dividends|However, corporations may also pay dividends as stock of another corporation or as any other property.|2da9dc95081442e8a0c7d402928d048d
partnership|distributions|You can also receive distributions through your interest in a partnership, an estate, a trust, or from an association that's taxable as a corporation.|2da9dc95081442e8a0c7d402928d048d
corporation|debt|A shareholder of a corporation may be deemed to receive a dividend if the corporation pays the debt of its shareholder.|2da9dc95081442e8a0c7d402928d048d
services|dividends|The shareholder receives services from the corporation, or is allowed the use of the corporation's property without adequate reimbursement to the corporation.|2da9dc95081442e8a0c7d402928d048d
stock rights|distributions|A shareholder may also receive distributions such as additional stock or stock rights in the distributing corporation.|2da9dc95081442e8a0c7d402928d048d
form|10-99-div|Form type|e12d15e532144d1e9ac7938f21b04f79
payer|dividends and distributions|Source of distributions|e12d15e532144d1e9ac7938f21b04f79
partnership|estate or trust|Related entities|e12d15e532144d1e9ac7938f21b04f79
schedule k-1|form 10-99-div|Reporting document|e12d15e532144d1e9ac7938f21b04f79
dividends|earnings and profits|Source of funds|e12d15e532144d1e9ac7938f21b04f79
ordinary dividends|qualified dividends|Classification|e12d15e532144d1e9ac7938f21b04f79
publication 550|investment income and expenses|Reference document|e12d15e532144d1e9ac7938f21b04f79
return of capital|investment|A return of capital is a return of some or all of your investment in the stock of the company.|53d0d9d5ced8496eb773d4625e695e4c
return of capital|adjusted cost basis|A return of capital reduces the adjusted cost basis of your stock.|53d0d9d5ced8496eb773d4625e695e4c
distribution|return of capital|A distribution generally qualifies as a return of capital if the corporation making the distribution doesn't have any accumulated or current year earnings and profits.|53d0d9d5ced8496eb773d4625e695e4c
capital gain distributions|long-term capital gains|Capital gain distributions are always reported as long-term capital gains.|53d0d9d5ced8496eb773d4625e695e4c
rics (mutual funds, exchange traded funds, money market funds, etc.)|reits|Regulated investment companies (RICs) and real estate investment trusts (REITs) may pay capital gain distributions.|53d0d9d5ced8496eb773d4625e695e4c
undistributed capital gains|written notice|You must also report any undistributed capital gain that RICs or REITs have designated to you in a written notice.|53d0d9d5ced8496eb773d4625e695e4c
dividend income|payer|The payer requires correct social security number for dividend income.|ff1fac6291b744268aee4a4cc50a8519
social security number|payer|You must give your correct social security number to the payer of your dividend income.|ff1fac6291b744268aee4a4cc50a8519
backup withholding|penalty|You may be subject to a penalty if you don't provide your correct social security number.|ff1fac6291b744268aee4a4cc50a8519
schedule b (form 10-40)|taxable ordinary dividends|You must report taxable ordinary dividends on Schedule B (Form 10-40).|ff1fac6291b744268aee4a4cc50a8519
net investment income tax (niit)|estimated tax|If you receive dividends in significant amounts, you may be subject to the Net Investment Income Tax (NIIT) and may have to pay estimated tax.|ff1fac6291b744268aee4a4cc50a8519
publication 550|dividend income|You may find more information on dividend income in Publication 550, Investment Income and Expenses.|ff1fac6291b744268aee4a4cc50a8519
business|income|Business income may include income received from the sale of products or services.|d68bfe5a57204a2d92061001dabbda99
products|services|Business income may include income received from the sale of products or services.|d68bfe5a57204a2d92061001dabbda99
person|profession|For example, fees received by a person from the regular practice of a profession are business income.|d68bfe5a57204a2d92061001dabbda99
real estate|business|Rents received by a person in the real estate business are business income.|d68bfe5a57204a2d92061001dabbda99
property|services|A business must include in income payments received in the form of property or services at the fair market value of the property or services.|d68bfe5a57204a2d92061001dabbda99
sole proprietorship|business|A sole proprietorship is an unincorporated business owned by an individual.|f1034a7cdbdd4b6bbf24e69e509cc903
sole proprietorship|owner|A sole proprietorship has no legal identity apart from its owner.|f1034a7cdbdd4b6bbf24e69e509cc903
business|debts|Business debts are obligations of the owner of the business.|f1034a7cdbdd4b6bbf24e69e509cc903
limited liability company (llc)|sole proprietship|A limited liability company (LLC) owned by one individual is treated as a sole proprietorship for federal income tax purposes, unless the owner elects to treat the LLC as a corporation.|f1034a7cdbdd4b6bbf24e69e509cc903
schedule c|business|A sole proprietor files Schedule C (Form 10-40), Profit or Loss from Business (Sole Proprietorship) to report the income and expenses of the business...|f1034a7cdbdd4b6bbf24e69e509cc903
schedule se|self-employment tax|A taxpayer uses Schedule SE to figure self-employment tax, which is the sum of the social security and Medicare taxes on self-employment income.|f1034a7cdbdd4b6bbf24e69e509cc903
partnership|unincorporated business organization|A partnership is an unincorporated business organization where two or more persons join to carry on a trade or business, a financial operation or venture.|71ced29dd7eb4bbcb909a0e87be0b290
partnership|trade or business|A partnership is an unincorporated business organization where two or more persons join to carry on a trade or business, a financial operation or venture.|71ced29dd7eb4bbcb909a0e87be0b290
partnership|financial operation or venture|A partnership is an unincorporated business organization where two or more persons join to carry on a trade or business, a financial operation or venture.|71ced29dd7eb4bbcb909a0e87be0b290
llc|partnership|An LLC with more than one owner is generally treated as a partnership for federal tax purposes,|71ced29dd7eb4bbcb909a0e87be0b290
spouses|community property state|spouses in a community property state who are the only owners of an LLC and share in the profits of such, can file as a single member|71ced29dd7eb4bbcb909a0e87be0b290
partnership income|schedule k-1 (form 10-65)pdf|Each partner receives a Schedule K-1 (Form 10-65)PDF that indicates the partner's distributive share of partnership income|71ced29dd7eb4bbcb909a0e87be0b290
partnership expenses|schedule k-1 (form 10-65)pdf|Each partner receives a Schedule K-1 (Form 10-65)PDF that indicates the partner's distributive share of partnership income|71ced29dd7eb4bbcb909a0e87be0b290
partnership agreement|distributive share|determined in accordance with the terms of the partnership agreement|71ced29dd7eb4bbcb909a0e87be0b290
corporation|publication 541, partnerships|For more information on partnerships, in general, refer to Publication 541, Partnerships.|71ced29dd7eb4bbcb909a0e87be0b290
corporation|federal income tax|The term corporation, for federal income tax purposes, generally includes a legal entity...|57a7582f523e4887960250aa4d2cc077
entity|corporation|It also includes certain businesses that elect to be taxed as a corporation by filing Form 88... |57a7582f523e4887960250aa4d2cc077
form 11-20|u.s. corporation income tax return|Corporations report their income and expenses, and calculate their tax on Form 11-20...|57a7582f523e4887960250aa4d2cc077
publication 542|corporations|For more information on corporations, refer to Publication 542, Corporations.|57a7582f523e4887960250aa4d2cc077
subchapter s|tax code|Corporations that meet certain requirements may elect to be taxed under subchapter S of the tax code...|57a7582f523e4887960250aa4d2cc077
form 2553|election by a small business corporation|Corporations that meet certain requirements may elect to be taxed under subchapter S of the tax code by filing Form 2553...|57a7582f523e4887960250aa4d2cc077
s corporation|tax return|S corporations file Form 11-20-S, U.S. Income Tax Return for an S Corporation...|57a7582f523e4887960250aa4d2cc077
schedule k-1|form 11-20-s|...and are generally not subject to regular income tax. Most income and expenses of an S corporation are passed through to the shareholders on Schedule K-1...|57a7582f523e4887960250aa4d2cc077
schedule k-3|form 11-20-s|...and/or Schedule K-3. The shareholders report on their income tax returns the amounts indicated on the Schedule K-1 and/or Schedule K-3.|57a7582f523e4887960250aa4d2cc077
llcs|federal tax purposes|LLCs for federal tax purposes...|57a7582f523e4887960250aa4d2cc077
limited liability company|business structure|is a type of|1f008959604f49b8b8b02b71b4cc25e9
limited liability company|state statute|created under|1f008959604f49b8b8b02b71b4cc25e9
llc|irs|will be treated as|1f008959604f49b8b8b02b71b4cc25e9
llc|corporation|or as a|1f008959604f49b8b8b02b71b4cc25e9
llc|partnership|or as a|1f008959604f49b8b8b02b71b4cc25e9
llc|disregarded entity|as part of the owner's tax return|1f008959604f49b8b8b02b71b4cc25e9
capital asset|home|Examples of capital assets include a home|3f32e3a029ca4d8e919bf3a7b96f7403
capital asset|stocks or bonds|Examples of capital assets include stocks or bonds held as investments|3f32e3a029ca4d8e919bf3a7b96f7403
capital gain|capital loss|When you sell a capital asset, the difference between the adjusted basis in the asset and the amount you realized from the sale is a capital gain or a capital loss.|3f32e3a029ca4d8e919bf3a7b96f7403
basis|asset|An asset's basis is its cost to the owner...|3f32e3a029ca4d8e919bf3a7b96f7403
capital gain|long-term|You have a capital gain if you sell the asset for more than your adjusted basis|3f32e3a029ca4d8e919bf3a7b96f7403
capital loss|short-term|You have a capital loss if you sell the asset for less than your adjusted basis|3f32e3a029ca4d8e919bf3a7b96f7403
long-term|capital gain or loss|Long-term capital gains and losses are classified as long-term|c4ccdff8774341fa83c664cc816b8f8c
short-term|capital gain or loss|Short-term capital gains and losses are classified as short-term|c4ccdff8774341fa83c664cc816b8f8c
one year|short-term|If you hold the asset one year or less, your capital gain or loss is short-term|c4ccdff8774341fa83c664cc816b8f8c
more than one year|long-term|Generally, if you hold the asset for more than one year before you dispose of it, your capital gain or loss is long-term|c4ccdff8774341fa83c664cc816b8f8c
net capital gain|tax rate|The term 'net capital gain' means the amount by which your net long-term capital gain for the year is more than your net short-term capital loss for the year.|f0aaa8a7dca34f1e866364396b46fbbb
long-term capital gains|long-term capital losses|The term 'net long-term capital gain' means long-term capital gains reduced by long-term capital losses including any unused long-term capital loss carried over from previous years.|f0aaa8a7dca34f1e866364396b46fbbb
short-term capital gains|short-term capital losses|The term 'net short-term capital loss' means the excess of short-term capital losses (including any unused short-term capital losses carried over from previous years) over short-term capital gains for the year.|f0aaa8a7dca34f1e866364396b46fbbb
taxable income|capital gains rate|A capital gains rate of 0% applies if your taxable income is less than or equal to $44,625 for single and married filing separately;|f0aaa8a7dca34f1e866364396b46fbbb
taxable income|capital gains rate|A capital gains rate of 15% applies if your taxable income is more than $44,625 but less than or equal to $492,300 for single;|f0aaa8a7dca34f1e866364396b46fbbb
taxable income|thresholds for 15% capital gain rate|Taxable income exceeds these thresholds, and a capital gains rate of 20% applies|eed611eae6c441b098ce3bc24d6f6276
capital gains rate|taxable income|The extent to which your taxable income exceeds the thresholds set for the 15% capital gain rate determines the application of this capital gains rate|eed611eae6c441b098ce3bc24d6f6276
exceptions|capital gains rate|There are a few exceptions where capital gains may be taxed at rates greater than 20%|eed611eae6c441b098ce3bc24d6f6276
section 1202 qualified small business stock|maximum 28% rate|The taxable part of a gain from selling section 1202 qualified small business stock is taxed at this maximum rate|eed611eae6c441b098ce3bc24d6f6276
collectibles (coins or art)|maximum 28% rate|Net capital gains from selling collectibles are taxed at this maximum rate|eed611eae6c441b098ce3bc24d6f6276
section 1250 real property|maximum 25% rate|The portion of any unrecaptured section 1250 gain from selling section 1250 real property is taxed at this maximum rate|eed611eae6c441b098ce3bc24d6f6276
net short-term capital gains|ordinary income tax rates|Net short-term capital gains are subject to taxation as ordinary income at graduated tax rates|eed611eae6c441b098ce3bc24d6f6276
loss|capital gain|The amount of loss that can be claimed to lower income is the lesser of $3,000 or total net loss.|d8e587eab28a4b0f9b8b2e3304911831
carryover|loss|If net capital loss exceeds the limit, it can be carried forward to later years.|d8e587eab28a4b0f9b8b2e3304911831
capital loss carryover worksheet|form 10-40|The worksheet is used to figure the amount that can be carried forward.|d8e587eab28a4b0f9b8b2e3304911831
schedule d (form 10-40)|capital gains and losses|The schedule is used to summarize capital gains and deductible capital losses.|d8e587eab28a4b0f9b8b2e3304911831
form 89-49|sales and other dispositions of capital assets|This form is used to calculate capital gain or loss for most sales and other capital transactions.|d8e587eab28a4b0f9b8b2e3304911831
estimated tax payments|taxable capital gain|If you have a taxable capital gain, you may be required to make estimated tax payments.|d8e587eab28a4b0f9b8b2e3304911831
net investment income tax (niit)|individuals with significant investment income|Individuals with significant investment income may be subject to the NIIT.|d8e587eab28a4b0f9b8b2e3304911831
publication|550|The first node is related to the second as it contains additional information about capital gains and losses.|953b357113cb463b82c659c722fc7e5b
publication|544|The first node is related to the second as it also contains additional information about capital gains and losses.|953b357113cb463b82c659c722fc7e5b
main home|topic no. 701|The first node is related to the second as it refers to selling one's main home.|953b357113cb463b82c659c722fc7e5b
main home|topic no. 703|The first node is related to the second as it also refers to selling one's main home.|953b357113cb463b82c659c722fc7e5b
home|publication 523|The first node is related to the second as Publication 523 is about selling a home.|953b357113cb463b82c659c722fc7e5b
retirement benefits|pension or annuity payments|Retirement benefits are received in the form of pension or annuity payments.|56f71481e4fc468f8dc6454a9083da23
qualified employer retirement plan|designated roth account|The payment must be a qualified distribution from a designated Roth account to avoid taxation.|56f71481e4fc468f8dc6454a9083da23
pension or annuity payments|taxable|All or some portion of the amounts received may be taxable unless it's a qualified distribution.|56f71481e4fc468f8dc6454a9083da23
social security benefits|railroad retirement tier i benefits|Taxation rules are separate for these types of benefits, and information can be found in Topic no. 423 and another topic.|56f71481e4fc468f8dc6454a9083da23
pension or annuity payments|fully taxable|Payments are fully taxable if there is no investment in the contract due to certain situations, including lack of after-tax contributions.|56f71481e4fc468f8dc6454a9083da23
after-tax amounts|pension or annuity|After-tax amounts were not contributed for the pension or annuity, making payments fully taxable.|56f71481e4fc468f8dc6454a9083da23
employer withholding|pension or annuity|The employer did not withhold after-tax contributions from salary, making payments fully taxable.|56f71481e4fc468f8dc6454a9083da23
after-tax contributions|prior years|After-tax contributions were received tax-free in prior years, and now the payment is fully taxable.|56f71481e4fc468f8dc6454a9083da23
after-tax contributions|pension or annuity|You contributed after-tax dollars to your pension or annuity|41fd3b347c1d46cf8fad16f8f50837fa
partially taxable payments|pension payments|Your pension payments are partially taxable|41fd3b347c1d46cf8fad16f8f50837fa
after-tax amount|return of the after-tax amount|You won't pay tax on the part of the payment that represents a return of the after-tax amount you paid|41fd3b347c1d46cf8fad16f8f50837fa
investment in the contract|after-tax contributions|Your investment in the contract includes the amounts your employer contributed that were taxable to you when contributed|41fd3b347c1d46cf8fad16f8f50837fa
general rule|simplified method|Taxpayers figure the tax on partly taxable pensions by using either the general rule or the simplified method|41fd3b347c1d46cf8fad16f8f50837fa
topic no. 411|general rule and simplified method|For more information on the general rule and simplified method, refer to Topic no. 411|41fd3b347c1d46cf8fad16f8f50837fa
simplified method|starting date of your pension or annuity payments|If the starting date of your pension or annuity payments is after November 18, 1996, you generally must use the simplified method to determine how much of your annuity payment is taxable and how much is tax-free|41fd3b347c1d46cf8fad16f8f50837fa
additional 10% tax on early distributions|pension or annuity payments|If you receive pension or annuity payments before age 59½, you may be subject to an additional 10% tax on early distributions|41fd3b347c1d46cf8fad16f8f50837fa
exception|additional 10% tax on early distributions|The additional tax generally doesn't apply to any part of a distribution that's tax-free or to any of the following types of distributions: (Distributions made as a part of a series of substantially equal periodic payments that begins after your separation from service. Distributions made because you're totally and permanently disabled.)|41fd3b347c1d46cf8fad16f8f50837fa
distributions|disabled|The distributions are made because the person is totally and permanently disabled.|e296a087cce94212a99ee7a77412b266
distributions|terminally ill|The distributions are made to someone who is terminally ill.|e296a087cce94212a99ee7a77412b266
distributions|death of plan participant or contract holder|Distributions are made on or after the death of the plan participant or contract holder.|e296a087cce94212a99ee7a77412b266
exceptions|publication 575|For other exceptions to the additional 10% tax, refer to Publication 575.|e296a087cce94212a99ee7a77412b266
exceptions|form 5329|For other exceptions to the additional 10% tax, refer to Instructions for Form 5329.|e296a087cce94212a99ee7a77412b266
survivor or beneficiary|pension plan participant or annuitant|If you're a survivor or beneficiary of a pension plan participant or annuitant, refer to Publication 575 for rules relating to income inclusion.|e296a087cce94212a99ee7a77412b266
tax withholding|federal income tax|The taxable part of your pension or annuity payments is generally subject to federal income tax withholding.|e296a087cce94212a99ee7a77412b266
pension|annuity|are related concepts, both referring to types of payments|777c4ea2f0d84cd18fc4017c77268a2e
federal income tax|withholding|are related concepts, federal income tax being the type of tax that is withheld|777c4ea2f0d84cd18fc4017c77268a2e
form w-4p|withholding certificate for periodic pension or annuity payments|are related concepts, Form W-4P being a specific form used to provide withholding information|777c4ea2f0d84cd18fc4017c77268a2e
social security number (ssn)|payer|are related concepts, the payer requiring an SSN for tax withholding purposes|777c4ea2f0d84cd18fc4017c77268a2e
u.s. citizen or resident alien|home address in the united states (or its territories)|are related concepts, U.S. citizens and residents being required to provide a home address in the United States for tax withholding purposes|777c4ea2f0d84cd18fc4017c77268a2e
filing status|single|are related concepts, filing status referring to an individual's marital status and single being one possible status|777c4ea2f0d84cd18fc4017c77268a2e
nonperiodic payments|qualified retirement plans|apply special rules|fde3aa3cbbf64dbb9d7e7ae6069194e8
lump-sum distributions|topic no. 412|refer to for special tax treatment|fde3aa3cbbf64dbb9d7e7ae6069194e8
eligible rollover distribution|payer|must withhold 20% of taxable amount|fde3aa3cbbf64dbb9d7e7ae6069194e8
direct rollover option|withholding|can avoid by choosing this option|fde3aa3cbbf64dbb9d7e7ae6069194e8
distribution sent to the receiving plan or ira|withholding|isn't subject to withholding|fde3aa3cbbf64dbb9d7e7ae6069194e8
rollovers|topic no. 413|refer to for more information|fde3aa3cbbf64dbb9d7e7ae6069194e8
ira or retirement plan|tax return|need to report transfer or rollover on|fde3aa3cbbf64dbb9d7e7ae6069194e8
estimated tax payments|taxes|may need to make to ensure proper amount of tax|fde3aa3cbbf64dbb9d7e7ae6069194e8
withholding tax|publication 505, tax withholding and estimated tax|refer to for more information on increasing withholding tax|fde3aa3cbbf64dbb9d7e7ae6069194e8
pension|annuity plan|part of|93ac70b7128b4539982f19c9f2a3614f
gross income|contributions|included in|93ac70b7128b4539982f19c9f2a3614f
distributions|income|exclude part from|93ac70b7128b4539982f19c9f2a3614f
tax-free part|pension or annuity|figure when payments first begin|93ac70b7128b4539982f19c9f2a3614f
total cost|basis|also referred to as|93ac70b7128b4539982f19c9f2a3614f
investment in the contract|total cost|same as|93ac70b7128b4539982f19c9f2a3614f
annuity payments|nonqualified retirement plan|received from|93ac70b7128b4539982f19c9f2a3614f
life expectancy tables|irs|issued by|93ac70b7128b4539982f19c9f2a3614f
tax-free part of annuity payments|irs|will figure for a fee|93ac70b7128b4539982f19c9f2a3614f
retirement plan|annuity payments|The simplified method is used to figure the tax-free part of these payments.|0804affa200844a98120b9b530a8ed30
qualified employee plan|qualified retirement plan|A qualified retirement plan includes a qualified employee plan, among others (refer to Publication 575 for definitions).|0804affa200844a98120b9b530a8ed30
simplified method worksheet|form 10-40|The Simplified Method Worksheet is used in conjunction with Form 10-40 and its instructions.|0804affa200844a98120b9b530a8ed30
publication 575|retirement plan|Publication 575 provides definitions for qualified retirement plans, including the simplified method.|0804affa200844a98120b9b530a8ed30
united states civil service retirement benefits|publication 721|For information on United States Civil Service retirement benefits, refer to Publication 721.|0804affa200844a98120b9b530a8ed30
lump-sum distribution|qualified retirement plan|Lump-sum distributions are distributed from qualified retirement plans.|e4b2bc9662c14c878977e85ae468fa38
optional methods|figuring the tax on the distribution|Optional methods can be elected to figure the tax on the distribution.|e4b2bc9662c14c878977e85ae468fa38
lump-sum distribution|entire balance from all employer's qualified plans|A lump-sum distribution is the distribution or payment of a participant's entire balance from all employer's qualified plans.|e4b2bc9662c14c878977e85ae468fa38
death|lump-sum distribution|Lump-sum distributions are distributed because of a plan participant's death.|e4b2bc9662c14c878977e85ae468fa38
age 59½|lump-sum distribution|A lump-sum distribution is also paid after the participant reaches age 59½.|e4b2bc9662c14c878977e85ae468fa38
separation from service|lump-sum distribution|Lump-sum distributions are distributed because of a plan participant's separation from service.|e4b2bc9662c14c878977e85ae468fa38
total and permanent disability|lump-sum distribution|A lump-sum distribution is also paid after the participant becomes totally and permanently disabled.|e4b2bc9662c14c878977e85ae468fa38
lump-sum treatment options|portion attributable to active participation in the plan|You can elect to treat the portion of a lump-sum distribution that's attributable to your active participation in the plan using one of five options.|e4b2bc9662c14c878977e85ae468fa38
taxable part|distribution|The taxable part refers to a part of the distribution.|eee3abd6303e42008417635c07d7924e
capital gain|distribution from participation|If you qualify, the reportable part is considered a capital gain.|eee3abd6303e42008417635c07d7924e
ordinary income|distribution from participation|The rest of the distribution is reported as ordinary income.|eee3abd6303e42008417635c07d7924e
10-year tax option|tax on part from participation after 1973|You can use this option to figure the tax on the part distributed after 1973 (if you qualify).|eee3abd6303e42008417635c07d7924e
net unrealized appreciation (nua)|lump-sum distribution|The NUA is included in the lump-sum distribution.|eee3abd6303e42008417635c07d7924e
nua|income|You may elect to include the NUA in your income in the year the securities are distributed (if you qualify).|eee3abd6303e42008417635c07d7924e
capital gain treatment|form 10-99-rpdf|shows|9e4236f45458404f85f322a263f2dc80
payer of lump-sum distribution|form 10-99-rpdf|provides|9e4236f45458404f85f322a263f2dc80
lump-sum distribution|taxable distribution|is|9e4236f45458404f85f322a263f2dc80
